season,n_niebla,n_rocio,n_sin_evento,umbral_niebla,ic_niebla_low,ic_niebla_high,umbral_rocio,ic_rocio_low,ic_rocio_high,media_sin_evento,auc_niebla_rocio,auc_rocio_sin_evento,accuracy_umbral_propio,accuracy_umbral_anual
Verano (DJF),459,633,10785,0.002584670507538599,0.002501896102404425,0.002669559434792699,0.0029486899533095654,0.002859452870430062,0.0030407420959695517,0.006758206781557949,0.5860291106086107,0.9238111560070054,0.8860823440262693,0.8696640565799444
Otonio (MAM),966,729,10439,0.002900485589731751,0.0028320209158532316,0.0029741298764018776,0.004247294408767282,0.004130354512027162,0.004363743550072496,0.008245963367675588,0.7565072548969504,0.8780895899109995,0.857755068402835,0.8762155925498599
Invierno (JJA),299,142,12070,0.0023405983246798604,0.002211884126620628,0.002479193204693683,0.0030275821921973253,0.0027877969430327096,0.0032921707292156844,0.012066506399017178,0.6327664986574965,0.9785943498605553,0.9605147470226201,0.9589960834465671
Primavera (SON),362,411,10893,0.0018568068475458394,0.0017741412190490887,0.0019424226467516092,0.0024527935976414277,0.0023255040122027518,0.0025979697906032446,0.01002338287490104,0.6384508878762214,0.9754466304953083,0.9417109549117092,0.9325390022286988
