season,n_niebla,n_rocio,n_sin_evento,umbral_niebla,ic_niebla_low,ic_niebla_high,umbral_rocio,ic_rocio_low,ic_rocio_high,media_sin_evento,auc_niebla_rocio,auc_rocio_sin_evento,accuracy_umbral_propio,accuracy_umbral_anual
Verano (DJF),483,727,10421,0.0029139118758330133,0.0028231149005997352,0.0030031418085970027,0.0031294946674478145,0.0030415000995141755,0.003216813259215401,0.006351579627360263,0.4632611970689831,0.9022552202877818,0.8531510618175565,0.8479924340125526
Otonio (MAM),832,608,10872,0.0027956767916752882,0.0027187647196666785,0.002876085670911511,0.004272158204022145,0.004138639438672864,0.004418754258144514,0.009486736924361413,0.7617780554149796,0.9097414350238178,0.8888888888888888,0.9023716699155295
Invierno (JJA),370,166,11911,0.0022385098722776013,0.0021237797593871488,0.0023550820483243923,0.0029059947230108793,0.002669622857761048,0.0031463073029487742,0.012126727661332676,0.6262780853142296,0.9797119803199025,0.9584638868803728,0.9562143488390777
Primavera (SON),401,414,10983,0.0019914330201697317,0.001913259774831037,0.002066377939859573,0.0025260948527998043,0.0023991295705413675,0.0026675877741105976,0.00910709690559867,0.6184779596901473,0.9714657830876976,0.9368537040176301,0.9292252924224444
